Matrix,NumOfRows,NumOfColumns,KindOfSparsification,BlockSize,NumOfRemainedNonzeros,NumOfColors,Time
ExampleMatrices/FloridaSparseMatrixCollection/685_bus.mtx,685,685,Full,0,3249,14,0.002546
ExampleMatrices/FloridaSparseMatrixCollection/1138_bus.mtx,1138,1138,Full,0,4054,18,0.002002
ExampleMatrices/FloridaSparseMatrixCollection/ash608.mtx,608,188,Full,0,1216,6,0.000193
ExampleMatrices/FloridaSparseMatrixCollection/bcsstk01.mtx,48,48,Full,0,400,15,0.000279
ExampleMatrices/FloridaSparseMatrixCollection/bcsstk01_mod.mtx,48,48,Full,0,400,18,0.000243
ExampleMatrices/FloridaSparseMatrixCollection/bcsstk08.mtx,1074,1074,Full,0,12960,339,0.037585
ExampleMatrices/FloridaSparseMatrixCollection/bcsstk09.mtx,1083,1083,Full,0,18437,27,0.006154
ExampleMatrices/FloridaSparseMatrixCollection/bcsstm01.mtx,48,48,Full,0,48,1,0.000004
ExampleMatrices/FloridaSparseMatrixCollection/bcsstm13.mtx,2003,2003,Full,0,21943,78,0.023236
ExampleMatrices/FloridaSparseMatrixCollection/bcsstm25.mtx,15439,15439,Full,0,15439,1,0.000471
ExampleMatrices/FloridaSparseMatrixCollection/bcsstm27.mtx,1224,1224,Full,0,56126,54,0.039449
ExampleMatrices/FloridaSparseMatrixCollection/bcsstk18.mtx,11948,11948,Full,0,149090,55,0.114704
ExampleMatrices/FloridaSparseMatrixCollection/bcsstk29.mtx,13992,13992,Full,0,619488,89,0.564325
ExampleMatrices/FloridaSparseMatrixCollection/bcsstk30.mtx,28924,28924,Full,0,2043492,233,3.573886
ExampleMatrices/FloridaSparseMatrixCollection/bcsstk32.mtx,44609,44609,Full,0,2014701,216,1.858507
ExampleMatrices/FloridaSparseMatrixCollection/bp_1400.mtx,822,822,Full,0,4790,311,0.009930
ExampleMatrices/FloridaSparseMatrixCollection/bp_1600.mtx,822,822,Full,0,4841,304,0.009968
ExampleMatrices/FloridaSparseMatrixCollection/ex33.mtx,1733,1733,Full,0,22189,28,0.008597
ExampleMatrices/FloridaSparseMatrixCollection/hess_pat.mtx,43,43,Full,0,230,12,0.000067
ExampleMatrices/FloridaSparseMatrixCollection/hess_pat_small.mtx,10,10,Full,0,36,6,0.000009
ExampleMatrices/FloridaSparseMatrixCollection/jac_pat.mtx,10,43,Full,0,78,5,0.000013
ExampleMatrices/FloridaSparseMatrixCollection/mtx-spear-head.mtx,10,10,Full,0,28,10,0.000008
ExampleMatrices/FloridaSparseMatrixCollection/fs_183_1.mtx,183,183,Full,0,1069,72,0.000977
ExampleMatrices/FloridaSparseMatrixCollection/mymatrix.mtx,3,6,Full,0,8,2,0.000002
ExampleMatrices/FloridaSparseMatrixCollection/mymatrix1.mtx,6,6,Full,0,14,4,0.000004
ExampleMatrices/FloridaSparseMatrixCollection/fs_183_3.mtx,183,183,Full,0,1069,72,0.000978
ExampleMatrices/FloridaSparseMatrixCollection/G51.mtx,1000,1000,Full,0,11818,157,0.023635
ExampleMatrices/FloridaSparseMatrixCollection/nos3.mtx,960,960,Full,0,15844,18,0.003936
ExampleMatrices/FloridaSparseMatrixCollection/plbuckle.mtx,1282,1282,Full,0,30644,52,0.015909
ExampleMatrices/FloridaSparseMatrixCollection/str_200.mtx,363,363,Full,0,3068,31,0.001332
ExampleMatrices/FloridaSparseMatrixCollection/str_400.mtx,363,363,Full,0,3157,34,0.001419
